timestamp,distance [mm],confidence [%]
2022-08-15 10:53:09.966000,814,100
2022-08-15 10:53:10.023000,814,100
2022-08-15 10:53:10.090000,816,100
2022-08-15 10:53:10.142000,820,100
2022-08-15 10:53:10.221000,821,100
2022-08-15 10:53:10.294000,822,100
2022-08-15 10:53:10.349000,826,100
2022-08-15 10:53:10.422000,832,100
2022-08-15 10:53:10.480000,835,100
2022-08-15 10:53:10.552000,840,100
2022-08-15 10:53:10.616000,842,100
2022-08-15 10:53:10.677000,842,100
2022-08-15 10:53:10.753000,843,100
2022-08-15 10:53:10.810000,846,100
2022-08-15 10:53:10.878000,854,100
2022-08-15 10:53:10.942000,856,100
2022-08-15 10:53:11.017000,863,100
2022-08-15 10:53:11.075000,865,100
2022-08-15 10:53:11.148000,865,100
2022-08-15 10:53:11.202000,864,100
2022-08-15 10:53:11.275000,862,100
2022-08-15 10:53:11.346000,863,100
2022-08-15 10:53:11.428000,865,100
2022-08-15 10:53:11.470000,863,100
2022-08-15 10:53:11.547000,864,100
2022-08-15 10:53:11.605000,865,100
2022-08-15 10:53:11.674000,863,100
2022-08-15 10:53:11.745000,861,100
2022-08-15 10:53:11.798000,858,100
2022-08-15 10:53:11.870000,855,100
2022-08-15 10:53:11.943000,857,100
2022-08-15 10:53:11.998000,860,100
2022-08-15 10:53:12.075000,860,100
2022-08-15 10:53:12.153000,858,100
2022-08-15 10:53:12.202000,853,100
2022-08-15 10:53:12.280000,853,100
2022-08-15 10:53:12.334000,850,100
2022-08-15 10:53:12.411000,850,100
2022-08-15 10:53:12.466000,850,100
2022-08-15 10:53:12.535000,851,100
2022-08-15 10:53:12.598000,851,100
2022-08-15 10:53:12.668000,851,100
2022-08-15 10:53:12.724000,850,100
2022-08-15 10:53:12.798000,852,100
2022-08-15 10:53:12.853000,854,100
2022-08-15 10:53:12.928000,854,100
2022-08-15 10:53:13.003000,856,100
2022-08-15 10:53:13.058000,857,100
2022-08-15 10:53:13.131000,861,100
2022-08-15 10:53:13.188000,863,100
2022-08-15 10:53:13.260000,864,100
2022-08-15 10:53:13.316000,868,100
2022-08-15 10:53:13.385000,869,100
2022-08-15 10:53:13.446000,872,100
2022-08-15 10:53:13.531000,874,100
2022-08-15 10:53:13.583000,877,100
2022-08-15 10:53:13.659000,881,100
2022-08-15 10:53:13.713000,885,100
2022-08-15 10:53:13.787000,889,100
2022-08-15 10:53:13.854000,891,100
2022-08-15 10:53:13.912000,895,100
2022-08-15 10:53:13.981000,899,100
2022-08-15 10:53:14.045000,903,100
