"X","date","time","flight_time","depth","heading","battery_remaining","lat","lon","satellite_count","temp","seq","HavDIS","EucDIS"
1352,"8/15/2022","10:18:32","00:22:33",-1.5,282,89,47.6196174,-122.363182,10,56.23,22.5333333333333,0.570264845399876,0.571096801329984
1353,"8/15/2022","10:18:33","00:22:34",-1.4,280,89,47.6196174,-122.363182,10,56.26,22.55,0,0
1354,"8/15/2022","10:18:34","00:22:35",-0.8,280,89,47.6196174,-122.3631896,10,56.28,22.5666666666667,0.570264845399876,0.571096801329984
1355,"8/15/2022","10:18:35","00:22:36",-0.8,273,89,47.6196174,-122.3631896,10,56.3,22.5833333333333,0,0
1356,"8/15/2022","10:18:36","00:22:37",-0.5,275,89,47.6196174,-122.3631896,10,56.3,22.6,0,0
1357,"8/15/2022","10:18:37","00:22:38",-0.8,290,89,47.6196212,-122.3631896,10,56.34,22.6166666666667,0.423014064421069,0.422337979141784
1358,"8/15/2022","10:18:38","00:22:39",-0.4,274,89,47.6196212,-122.3631896,10,56.37,22.6333333333333,0,0
1359,"8/15/2022","10:18:39","00:22:40",-1.1,256,89,47.6196212,-122.3631973,10,56.37,22.65,0.577768288063463,0.578611190631385
1360,"8/15/2022","10:18:40","00:22:41",-0.9,256,89,47.619625,-122.3631973,10,56.41,22.6666666666667,0.423014065129185,0.422337982524779
1361,"8/15/2022","10:18:41","00:22:42",-1.6,259,89,47.619625,-122.3631973,10,56.46,22.6833333333333,0,0
1362,"8/15/2022","10:18:42","00:22:43",-1.3,255,89,47.619625,-122.3631896,10,56.5,22.7,0.577768246069882,0.578611148599224
1363,"8/15/2022","10:18:43","00:22:44",-1.5,248,89,47.6196289,-122.363182,10,56.53,22.7166666666667,0.716717961641869,0.716960386397026
1364,"8/15/2022","10:18:44","00:22:45",-1.3,249,89,47.6196289,-122.363182,10,56.57,22.7333333333333,0,0
1365,"8/15/2022","10:18:45","00:22:46",-1.4,243,89,47.6196289,-122.3631896,10,56.61,22.75,0.570264719964505,0.571096676195377
1366,"8/15/2022","10:18:46","00:22:47",-1.6,244,89,47.6196289,-122.3631896,10,56.61,22.7666666666667,0,0
